;Гл. лестница;1001;1002;1003;1004;1005;Лестница;1015(Гардероб);1016(Гардероб);Лестница;1022;1024;Эдиссон экспресс;Лестница;1036;1037;1038;1039;1040;1041;1145
Гл. лестница;99999;10;99999;99999;99999;99999;99999;99999;99999;99999;20;20;99999;99999;99999;99999;99999;99999;99999;99999;99999
1001;99999;99999;4;99999;99999;99999;99999;7;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999
1002;99999;99999;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999
1003;99999;99999;99999;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999
1004;99999;99999;99999;99999;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999
1005;99999;99999;99999;99999;99999;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999
Лестница;99999;99999;99999;99999;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999
1015(Гардероб);99999;99999;99999;99999;99999;99999;99999;;1;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999
1016(Гардероб);99999;99999;99999;99999;99999;99999;99999;1;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999
Лестница;99999;99999;99999;99999;99999;99999;99999;4;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999
1022;20;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;23;99999;99999;99999;99999;99999;99999;99999;99999
1024;20;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;23;99999;99999;99999;99999;99999;99999;99999;99999
Эдиссон экспресс;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;23;23;;99999;99999;99999;99999;99999;99999;99999;99999
Лестница;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;99999;99999;99999;99999;99999;99999;99999;99999
1036;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;99999;99999;99999;99999;26
1037;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;99999;5;99999;99999;99999;99999
1038;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;99999;10;99999;99999;99999
1039;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;10;99999;7;99999;99999
1040;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;99999;4;99999
1041;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;99999;99999
1145;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;26;99999;99999;99999;99999;99999;99999
